,id,title
0,1.jpg,allegory
1,2.jpg,"bacchus, ceres and cupid"
2,3.jpg,joking couple
3,4.jpg,portrait of emperor rudolf ii
4,5.jpg,self-portrait with a glass of wine
5,6.jpg,deer beside a lake
6,7.jpg,the rose garden
7,8.jpg,the archangel michael
8,9.jpg,albarello
9,10.jpg,ceramic floor
10,11.jpg,ceramic floor
11,12.jpg,the flood
12,13.jpg,chimney breast
13,14.jpg,chimney breast
14,15.jpg,stag hunt
15,16.jpg,orpheus and eurydice
16,17.jpg,the rape of proserpine
17,18.jpg,the continence of scipio
18,19.jpg,landscape at castiglioncello
19,20.jpg,country road with cypresses
20,21.jpg,cloister
21,22.jpg,portrait of a woman
22,23.jpg,gian lorenzo bernini's cornaro chapel
23,24.jpg,medal commemorating charles ii embarkation at scheveningen
24,25.jpg,commemorative medal for admiral maarten harpertszoon tromp
25,26.jpg,"william iii, prince of orange, at the age of four"
26,27.jpg,culmin's ghost appears to his mother
27,28.jpg,adam and eve
28,29.jpg,medallion portrait of emperor maximilian ii
29,30.jpg,fireworks in naples
30,31.jpg,battle of moscow on 7 september 1812
31,32.jpg,the return from the hunt
32,33.jpg,child pinched by a lobster
33,34.jpg,neptune and amphitrite
34,35.jpg,neptune calming the waves
35,36.jpg,self-portrait
36,37.jpg,head of 'water'
37,38.jpg,the martyrdom of sainte victoire
38,39.jpg,monument to queen catharina opalinska
39,40.jpg,monument to queen catharina opalinska (detail)
40,41.jpg,prometheus
41,42.jpg,prometheus
42,43.jpg,monumental vase on the theme of autumn
43,44.jpg,monumental vase on the theme of autumn (detail)
44,45.jpg,monumental vase on the theme of autumn (detail)
45,46.jpg,exterior view
46,47.jpg,interior view
47,48.jpg,interior view
48,49.jpg,interior view
49,50.jpg,bust of isaac péreire
50,51.jpg,view of the room of the ark
51,52.jpg,view of the room of the ark
52,53.jpg,the menorah
53,54.jpg,transportation of the ark of the covenant containing the tablets of the law
54,55.jpg,view of the palatine chapel
55,56.jpg,episodes in roman history
56,57.jpg,episodes in roman history
57,58.jpg,episodes in roman history
58,59.jpg,fresco decoration (detail)
59,60.jpg,fresco decoration (detail)
60,61.jpg,fresco decoration (detail)
61,62.jpg,self-portrait
62,63.jpg,commemorative medal for admiral michiel adriaensz. de ruyter
63,64.jpg,fish and dead game
64,65.jpg,still-life with fish
65,66.jpg,still-life with flowers in a glass vase
66,67.jpg,still-life
67,68.jpg,still-life with oysters
68,69.jpg,"elector frederick iii of saxony, called frederick the wise"
69,70.jpg,medal of ferdinand ii
70,71.jpg,giovanni gioviano pontano
71,72.jpg,giovanni gioviano pontano
72,73.jpg,giovanni gioviano pontano
73,74.jpg,venus
74,75.jpg,breakfast piece
75,76.jpg,still-life with hunting equipment and dead birds
76,77.jpg,hunting still-life
77,78.jpg,hunting still-life (detail)
78,79.jpg,still-life of fruit
